gene,cell_type
Birc3,skeletal muscle satellite cell
Birc3,muscle precursor cell
Birc5,megakaryocyte-erythroid progenitor cell
Birc5,promonocyte
Birc5,erythroblast
Birc5,hematopoietic precursor cell
Birc5,myeloid lineage restricted progenitor cell
Birc5,granulocytopoietic cell
Blk,mononuclear cell
Blk,lymphocyte
Blk,B cell
Blk,innate lymphoid cell
Blk,erythroid progenitor cell
Blk,"erythroid progenitor cell, mammalian"
Blnk,late pro-B cell
Blnk,plasma cell
Bmp1,vascular leptomeningeal cell
Bmp1,mesothelial fibroblast
Bmp2,endothelial cell of lymphatic vessel
Bmp2,endothelial cell of sinusoid
Bmp2,endothelial cell of hepatic sinusoid
Bmp2,chondrocyte
Bmp4,smooth muscle cell of the pulmonary artery
Bmp6,kidney glomerular epithelial cell
Bmp6,leptomeningeal cell
Bmp6,vascular leptomeningeal cell (Mmus)
Bmp6,fibroblast
Bmpr1b,astrocyte
Bmpr2,endothelial stalk cell
Bnc2,ciliated epithelial cell
Bnc2,epithelial cell of proximal tubule
Bnc2,columnar/cuboidal epithelial cell
Bnc2,kidney glomerular epithelial cell
Bnc2,kidney cortex tubule cell
Bnc2,kidney loop of Henle thin descending limb epithelial cell
Bnc2,leptomeningeal cell
Brd2,smooth muscle cell of trachea
Bsn,pyramidal neuron
Bsn,L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Bsnd,kidney collecting duct epithelial cell
Bsnd,kidney collecting duct principal cell
Bsnd,renal principal cell
Bsnd,renal intercalated cell
Bsnd,renal beta-intercalated cell
Bsnd,renal alpha-intercalated cell
Bsnd,kidney distal convoluted tubule epithelial cell
Bsnd,kidney loop of Henle ascending limb epithelial cell
Bsnd,kidney loop of Henle thick ascending limb epithelial cell
Bsnd,kidney loop of Henle epithelial cell
Bsnd,kidney collecting duct cell
Btbd9,hippocampal neuron
Btc,kidney collecting duct epithelial cell
Btc,kidney collecting duct principal cell
Btc,renal principal cell
Btc,Schwann cell
Btc,kidney collecting duct cell
Btla,B cell
C1ql1,Schwann cell
C2,mesothelial cell of pleura
C2,mesothelial cell of visceral pleura
C2,epithelial cell of lung
C2,epithelial cell of alveolus of lung
C2,pneumocyte
C2,type II pneumocyte
C2,endothelial cell of lymphatic vessel
C2,Hofbauer cell
C2,fibroblast
C2,pancreatic stellate cell
C2,lung secretory cell
C3,mesenchymal stem cell
C3,mesenchymal stem cell of adipose tissue
C3,intrahepatic cholangiocyte
C3,mesothelial cell of pleura
C3,mesothelial cell of visceral pleura
C3,hepatocyte
C3,periportal region hepatocyte
C3,midzonal region hepatocyte
C3,centrilobular region hepatocyte
C3,club cell
C3,inflammatory macrophage
C3,microglial cell
C3,follicular dendritic cell
C3,fibroblast
C3,keratocyte
C3,pancreatic stellate cell
C3,fibroblast of cardiac tissue
C3,fibroblast of connective tissue of prostate
C3,mesothelial fibroblast
C3,adventitial cell
C3,tracheobronchial serous cell
C3,serous cell of epithelium of trachea
C3ar1,phagocyte
C3ar1,macrophage
C3ar1,tissue-resident macrophage
C3ar1,professional antigen presenting cell
C3ar1,myeloid leukocyte
C3ar1,myeloid cell
C4b,mesenchymal stem cell of adipose tissue
C4b,cardiac neuron
C4b,fibroblast
C4b,pancreatic stellate cell
C4b,fibroblast of cardiac tissue
C4b,fibroblast of lung
C4b,adventitial cell
C4bp,hepatocyte
